"","popularity","acousticness","danceability","duration_ms","energy","liveness","loudness","speechiness","tempo","valence","length_title"
"326",38,0.184,0.816,187320,0.364,0.105,-14.152,0.0289,99.064,0.362,15
"327",40,4.06e-05,0.515,249467,0.708,0.1,-9.693,0.0323,97.772,0.486,5
"328",39,0.0598,0.438,316600,0.913,0.107,-4.458,0.0858,96.959,0.329,34
"329",53,0.00389,0.526,389200,0.776,0.0865,-8.873,0.0597,132.996,0.0504,11
"330",30,0.0003129999999999,0.389,245787,0.823,0.733,-10.083,0.0399,139.126,0.366,30
"331",37,0.036,0.631,166758,0.94,0.344,-2.582,0.0837,150.033,0.359,19
"333",33,0.129,0.391,403493,0.647,0.358,-10.586,0.0389,139.842,0.241,9
"334",38,0.0017699999999999,0.707,297055,0.825,0.309,-6.847,0.0391,121.072,0.614,16
"337",59,0.0941,0.728,291600,0.612,0.399,-10.106,0.0499,130.016,0.437,11
"339",27,0.0134,0.625,208000,0.752,0.127,-3.124,0.148,141.957,0.245,21
"340",41,0.000117,0.575,188800,0.952,0.0705,-2.919,0.0525,150.014,0.106,13
"341",24,0.778,0.459,178837,0.426,0.627,-18.213,0.0463,108.985,0.0393,12
"342",31,1.96e-05,0.523,273107,0.989,0.109,-2.289,0.125,174.039,0.207,4
"344",44,0.0104,0.634,155625,0.97,0.199,-3.534,0.0841,127.936,0.178,6
"345",44,0.0973,0.783,386267,0.411,0.0599,-19.591,0.087,100.897,0.85,9
"346",23,0.0542,0.525,266400,0.721,0.732,-9.751,0.0653,179.989,0.513,29
"347",35,0.385,0.331,294196,0.582,0.136,-8.987,0.0802,141.957,0.207,31
"348",36,0.00419,0.524,207529,0.789,0.198,-4.452,0.158,169.995,0.153,13
"350",38,0.0583,0.422,390973,0.678,0.301,-10.987,0.0493,141.957,0.195,6
"351",39,0.765,0.458,340853,0.464,0.142,-7.918,0.0311,143.925,0.135,11
"352",44,0.107,0.503,292308,0.532,0.247,-5.43,0.0438,155.87,0.369,17
"353",29,0.0306,0.909,218707,0.537,0.103,-6.882,0.156,90.003,0.572,22
"354",42,0.0046,0.552,199390,0.886,0.542,-2.975,0.0958,112.077,0.115,28
"355",28,0.00694,0.465,198457,0.909,0.116,-4.94,0.0377,75.028,0.623,15
"356",41,0.77,0.867,233036,0.631,0.0655,-7.764,0.0919,134.01,0.781,11
"357",43,0.558,0.835,233447,0.58,0.115,-8.892,0.189,100.007,0.841,25
"358",26,0.00328,0.635,249767,0.889,0.108,-4.267,0.0431,129.005,0.0539,9
"359",52,0.00957,0.751,260697,0.897,0.329,-3.598,0.0468,141.957,0.482,2
"360",37,0.36,0.73,228091,0.908,0.143,-4.801,0.0797,139.927,0.628,20
"367",34,0.0421,0.329,223652,0.662,0.0321,-7.645,0.119,159.212,0.258,29
"368",38,0.985,0.217,190040,0.138,0.112,-17.724,0.0489,169.75,0.0762,19
"369",41,0.168,0.493,372618,0.804,0.0608,-8.645,0.0299,93.988,0.0358,3
